word,meaning
switch,interruttore
throw,buttare
race,gara-razza
humanity,l'umanità
innocent,innocente
kindred,parentado
quest,cerca
slit,fessura
justice,giustizia
Sheriff,Sceriffo
orphan,orfani
shed,capannone
blade,lama
dark,scuro
extinct,estinto
pick,scegliere
hurry,fretta
criminal,penale
attack,attacco
evil,male
pretend,fingere
rampage,furia
charming,affascinante
eternally,eternamente
grateful,grato
sarge,sergente
mission,missione
accomplished,compiuto
sheriff,sceriffo
infinity,infinito
bang,scoppio
rescue,salvare
steady,costante
endo,endo
